GO.ID	Term	Annotated	Significant	Expected	P_value
177	GO:0003913	DNA photolyase activity	7	6	2.63	0.06925
178	GO:0004345	glucose-6-phosphate dehydrogenase activity	5	4	1.88	0.06930
179	GO:0031697	beta-1 adrenergic receptor binding	5	4	1.88	0.06930
180	GO:0030151	molybdenum ion binding	5	4	1.88	0.06930
181	GO:0002161	aminoacyl-tRNA editing activity	5	4	1.88	0.06930
182	GO:0005388	P-type calcium transporter activity	5	4	1.88	0.06930
183	GO:0001972	retinoic acid binding	5	4	1.88	0.06930
184	GO:0004791	thioredoxin-disulfide reductase (NADP) activity	5	4	1.88	0.06930
185	GO:0034186	apolipoprotein A-I binding	5	4	1.88	0.06930
186	GO:0034188	apolipoprotein A-I receptor activity	5	4	1.88	0.06930
187	GO:1900750	oligopeptide binding	5	4	1.88	0.06930
188	GO:0004854	xanthine dehydrogenase activity	5	4	1.88	0.06930
189	GO:0003896	DNA primase activity	5	4	1.88	0.06930
190	GO:0004028	3-chloroallyl aldehyde dehydrogenase activity	5	4	1.88	0.06930
191	GO:0004565	beta-galactosidase activity	5	4	1.88	0.06930
192	GO:0004517	nitric-oxide synthase activity	5	4	1.88	0.06930
193	GO:0043295	glutathione binding	5	4	1.88	0.06930
194	GO:0008843	endochitinase activity	5	4	1.88	0.06930
195	GO:0035255	ionotropic glutamate receptor binding	5	4	1.88	0.06930
196	GO:0004674	protein serine/threonine kinase activity	468	201	175.58	0.06941
197	GO:0051393	alpha-actinin binding	20	13	7.5	0.07178
198	GO:0003995	acyl-CoA dehydrogenase activity	15	10	5.63	0.07184
199	GO:0005005	transmembrane-ephrin receptor activity	11	7	4.13	0.07192
200	GO:0042800	histone H3K4 methyltransferase activity	11	7	4.13	0.07192
201	GO:0004535	poly(A)-specific ribonuclease activity	11	7	4.13	0.07192
202	GO:0001530	lipopolysaccharide binding	11	7	4.13	0.07192
203	GO:0043621	protein self-association	24	13	9	0.07199
204	GO:0005328	neurotransmitter:sodium symporter activity	24	13	9	0.07199
205	GO:0002039	p53 binding	24	13	9	0.07199
206	GO:0005007	fibroblast growth factor receptor activity	47	23	17.63	0.07251
207	GO:0005528	FK506 binding	7	5	2.63	0.07414
208	GO:0034450	ubiquitin-ubiquitin ligase activity	7	5	2.63	0.07414
209	GO:0008143	poly(A) binding	7	5	2.63	0.07414
210	GO:0003785	actin monomer binding	7	5	2.63	0.07414
211	GO:0004075	biotin carboxylase activity	7	5	2.63	0.07414
212	GO:0004047	aminomethyltransferase activity	7	5	2.63	0.07414
213	GO:0015248	sterol transporter activity	7	5	2.63	0.07414
214	GO:0032794	GTPase activating protein binding	7	5	2.63	0.07414
215	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	7	5	2.63	0.07414
216	GO:0004089	carbonate dehydratase activity	9	6	3.38	0.07415
217	GO:0004503	tyrosinase activity	9	6	3.38	0.07415
218	GO:0047150	betaine-homocysteine S-methyltransferase activity	9	6	3.38	0.07415
219	GO:0051371	muscle alpha-actinin binding	9	6	3.38	0.07415
220	GO:0004842	ubiquitin-protein transferase activity	500	205	187.58	0.07936
221	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	278	119	104.3	0.08394
222	GO:0050661	NADP binding	56	26	21.01	0.08409
223	GO:0015078	proton transmembrane transporter activity	67	35	25.14	0.08434
224	GO:0003725	double-stranded RNA binding	20	11	7.5	0.08484
225	GO:0051287	NAD binding	63	31	23.64	0.08528
226	GO:0016790	thiolester hydrolase activity	54	24	20.26	0.08591
227	GO:0019903	protein phosphatase binding	36	18	13.51	0.09145
