GO.ID	Term	Annotated	Significant	Expected	P_value
326	GO:0008284	positive regulation of cell population proliferation	506	241	195.16	0.03644
327	GO:0048705	skeletal system morphogenesis	166	71	64.02	0.03724
328	GO:0003341	cilium movement	81	38	31.24	0.03725
329	GO:0018107	peptidyl-threonine phosphorylation	52	29	20.06	0.03745
330	GO:0080135	regulation of cellular response to stress	248	128	95.65	0.03788
331	GO:0007010	cytoskeleton organization	722	359	278.47	0.03890
332	GO:0050767	regulation of neurogenesis	323	164	124.58	0.03892
333	GO:0016311	dephosphorylation	326	154	125.73	0.03907
334	GO:0042439	ethanolamine-containing compound metabolic process	48	25	18.51	0.03915
335	GO:0045022	early endosome to late endosome transport	24	14	9.26	0.03918
336	GO:0043407	negative regulation of MAP kinase activity	32	16	12.34	0.03923
337	GO:0051641	cellular localization	1988	928	766.74	0.03975
338	GO:0008340	determination of adult lifespan	37	20	14.27	0.04006
339	GO:0006629	lipid metabolic process	953	440	367.56	0.04016
340	GO:0090090	negative regulation of canonical Wnt signaling pathway	80	39	30.85	0.04042
341	GO:0006457	protein folding	133	65	51.3	0.04058
342	GO:0006414	translational elongation	38	22	14.66	0.04085
343	GO:0030111	regulation of Wnt signaling pathway	159	85	61.32	0.04088
344	GO:0006368	transcription elongation by RNA polymerase II	45	23	17.36	0.04093
345	GO:0022407	regulation of cell-cell adhesion	101	51	38.95	0.04121
346	GO:0006809	nitric oxide biosynthetic process	22	17	8.49	0.04132
347	GO:0031529	ruffle organization	18	13	6.94	0.04139
348	GO:1901342	regulation of vasculature development	115	50	44.35	0.04140
349	GO:0016079	synaptic vesicle exocytosis	32	18	12.34	0.04140
350	GO:0032801	receptor catabolic process	11	8	4.24	0.04145
351	GO:0090084	negative regulation of inclusion body assembly	9	7	3.47	0.04146
352	GO:0032715	negative regulation of interleukin-6 production	8	6	3.09	0.04148
353	GO:0021861	forebrain radial glial cell differentiation	8	6	3.09	0.04148
354	GO:0060546	negative regulation of necroptotic process	8	6	3.09	0.04148
355	GO:0006646	phosphatidylethanolamine biosynthetic process	8	6	3.09	0.04148
356	GO:0030325	adrenal gland development	8	6	3.09	0.04148
357	GO:0007020	microtubule nucleation	8	6	3.09	0.04148
358	GO:2000114	regulation of establishment of cell polarity	8	6	3.09	0.04148
359	GO:0019511	peptidyl-proline hydroxylation	13	7	5.01	0.04150
360	GO:0050885	neuromuscular process controlling balance	54	25	20.83	0.04196
361	GO:0019915	lipid storage	42	26	16.2	0.04243
362	GO:0030336	negative regulation of cell migration	60	30	23.14	0.04257
363	GO:0060079	excitatory postsynaptic potential	34	19	13.11	0.04261
364	GO:0034765	regulation of monoatomic ion transmembrane transport	243	114	93.72	0.04267
365	GO:0022604	regulation of cell morphogenesis	285	137	109.92	0.04275
366	GO:0006417	regulation of translation	247	126	95.26	0.04297
367	GO:0006641	triglyceride metabolic process	53	32	20.44	0.04388
368	GO:0048663	neuron fate commitment	42	22	16.2	0.04414
369	GO:0006749	glutathione metabolic process	36	19	13.88	0.04417
370	GO:0006879	intracellular iron ion homeostasis	19	12	7.33	0.04419
371	GO:0032008	positive regulation of TOR signaling	18	11	6.94	0.04422
372	GO:0019228	neuronal action potential	18	11	6.94	0.04422
373	GO:0007041	lysosomal transport	47	29	18.13	0.04456
374	GO:0030301	cholesterol transport	49	29	18.9	0.04458
375	GO:0007259	receptor signaling pathway via JAK-STAT	32	21	12.34	0.04463
376	GO:0097192	extrinsic apoptotic signaling pathway in absence of ligand	41	22	15.81	0.04472
377	GO:0008587	imaginal disc-derived wing margin morphogenesis	12	9	4.63	0.04478
378	GO:0071398	cellular response to fatty acid	11	8	4.24	0.04480
379	GO:0006241	CTP biosynthetic process	11	8	4.24	0.04480
380	GO:0021795	cerebral cortex cell migration	41	19	15.81	0.04482
381	GO:0032722	positive regulation of chemokine production	10	7	3.86	0.04482
382	GO:0042102	positive regulation of T cell proliferation	16	9	6.17	0.04483
383	GO:0007062	sister chromatid cohesion	22	11	8.49	0.04484
384	GO:0007165	signal transduction	3584	1509	1382.3	0.04500
385	GO:0050727	regulation of inflammatory response	67	31	25.84	0.04539
386	GO:0045792	negative regulation of cell size	16	10	6.17	0.04544
387	GO:0071420	cellular response to histamine	16	10	6.17	0.04544
388	GO:0022904	respiratory electron transport chain	25	19	9.64	0.04590
389	GO:2000134	negative regulation of G1/S transition of mitotic cell cycle	33	23	12.73	0.04590
390	GO:2001234	negative regulation of apoptotic signaling pathway	81	40	31.24	0.04597
391	GO:0002011	morphogenesis of an epithelial sheet	35	20	13.5	0.04606
392	GO:0042438	melanin biosynthetic process	16	11	6.17	0.04607
393	GO:2001238	positive regulation of extrinsic apoptotic signaling pathway	29	17	11.18	0.04609
394	GO:0045745	positive regulation of G protein-coupled receptor signaling pathway	15	10	5.79	0.04610
395	GO:0008625	extrinsic apoptotic signaling pathway via death domain receptors	27	16	10.41	0.04610
396	GO:0060213	positive regulation of nuclear-transcribed mRNA poly(A) tail shortening	12	8	4.63	0.04613
397	GO:2000379	positive regulation of reactive oxygen species metabolic process	12	8	4.63	0.04613
