GO.ID	Term	Annotated	Significant	Expected	P_value
177	GO:0032590	dendrite membrane	19	1	0.16	1.00000
178	GO:1902494	catalytic complex	1010	3	8.29	1.00000
179	GO:0097447	dendritic tree	309	2	2.54	1.00000
180	GO:0005622	intracellular anatomical structure	11300	93	92.78	1.00000
181	GO:0031966	mitochondrial membrane	405	4	3.33	1.00000
182	GO:0031967	organelle envelope	747	10	6.13	1.00000
183	GO:0031968	organelle outer membrane	106	1	0.87	1.00000
184	GO:0043226	organelle	10079	82	82.75	1.00000
185	GO:0009507	chloroplast	29	1	0.24	1.00000
186	GO:0043227	membrane-bounded organelle	8913	70	73.18	1.00000
187	GO:0043228	non-membrane-bounded organelle	3139	22	25.77	1.00000
188	GO:0043229	intracellular organelle	9607	72	78.88	1.00000
189	GO:0110165	cellular anatomical entity	15371	129	126.2	1.00000
190	GO:0044291	cell-cell contact zone	30	1	0.25	1.00000
191	GO:0120025	plasma membrane bounded cell projection	1290	14	10.59	1.00000
192	GO:0016604	nuclear body	237	1	1.95	1.00000
193	GO:0032279	asymmetric synapse	111	2	0.91	1.00000
194	GO:0044297	cell body	282	3	2.32	1.00000
195	GO:0031981	nuclear lumen	1303	3	10.7	1.00000
196	GO:0030016	myofibril	117	3	0.96	1.00000
197	GO:0031982	vesicle	1788	17	14.68	1.00000
198	GO:0030017	sarcomere	103	3	0.85	1.00000
199	GO:0031984	organelle subcompartment	835	11	6.86	1.00000
200	GO:0032432	actin filament bundle	19	1	0.16	1.00000
201	GO:0098647	collagen beaded filament	5	1	0.04	1.00000
202	GO:0098984	neuron to neuron synapse	111	2	0.91	1.00000
203	GO:0031970	organelle envelope lumen	64	1	0.53	1.00000
204	GO:0043230	extracellular organelle	645	14	5.3	1.00000
205	GO:0031974	membrane-enclosed lumen	1772	10	14.55	1.00000
206	GO:0043231	intracellular membrane-bounded organelle	8294	60	68.1	1.00000
207	GO:0035097	histone methyltransferase complex	49	1	0.4	1.00000
208	GO:0031975	envelope	773	10	6.35	1.00000
209	GO:0043232	intracellular non-membrane-bounded organelle	3138	22	25.76	1.00000
210	GO:0043233	organelle lumen	1772	10	14.55	1.00000
211	GO:0043235	receptor complex	215	2	1.77	1.00000
212	GO:0098802	plasma membrane signaling receptor complex	120	2	0.99	1.00000
213	GO:0098636	protein complex involved in cell adhesion	11	1	0.09	1.00000
214	GO:0098793	presynapse	221	1	1.81	1.00000
215	GO:0098794	postsynapse	310	3	2.55	1.00000
216	GO:0098796	membrane protein complex	741	4	6.08	1.00000
217	GO:1903561	extracellular vesicle	642	14	5.27	1.00000
218	GO:0098797	plasma membrane protein complex	340	3	2.79	1.00000
219	GO:0098798	mitochondrial protein-containing complex	99	1	0.81	1.00000
220	GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	624	11	5.12	1.00000
221	GO:0035770	ribonucleoprotein granule	144	1	1.18	1.00000
222	GO:0150034	distal axon	144	1	1.18	1.00000
223	GO:1990752	microtubule end	11	1	0.09	1.00000
224	GO:0012505	endomembrane system	2744	23	22.53	1.00000
225	GO:0012506	vesicle membrane	596	1	4.89	1.00000
226	GO:0019866	organelle inner membrane	316	3	2.59	1.00000
227	GO:0032589	neuron projection membrane	69	1	0.57	1.00000
228	GO:0019867	outer membrane	134	1	1.1	1.00000
229	GO:0070013	intracellular organelle lumen	1772	10	14.55	1.00000
230	GO:0005911	cell-cell junction	309	2	2.54	1.00000
231	GO:0032993	protein-DNA complex	432	1	3.55	1.00000
232	GO:0031253	cell projection membrane	254	4	2.09	1.00000
233	GO:0036464	cytoplasmic ribonucleoprotein granule	143	1	1.17	1.00000
234	GO:0033166	hyaline layer	24	1	0.2	1.00000
235	GO:0045178	basal part of cell	139	4	1.14	1.00000
236	GO:0031256	leading edge membrane	124	1	1.02	1.00000
237	GO:0030312	external encapsulating structure	665	11	5.46	1.00000
238	GO:0097517	contractile actin filament bundle	19	1	0.16	1.00000
239	GO:0098590	plasma membrane region	816	10	6.7	1.00000
240	GO:0070469	respirasome	50	1	0.41	1.00000
241	GO:0043197	dendritic spine	52	1	0.43	1.00000
242	GO:0005768	endosome	514	2	4.22	1.00000
243	GO:0031090	organelle membrane	2293	19	18.83	1.00000
244	GO:0045111	intermediate filament cytoskeleton	48	1	0.39	1.00000
245	GO:0070161	anchoring junction	322	3	2.64	1.00000
246	GO:0005930	axoneme	77	1	0.63	1.00000
247	GO:0030286	dynein complex	89	1	0.73	1.00000
248	GO:0000015	phosphopyruvate hydratase complex	2	0	0.02	1.00000
249	GO:0000109	nucleotide-excision repair complex	11	0	0.09	1.00000
250	GO:0000110	nucleotide-excision repair factor 1 complex	5	0	0.04	1.00000
251	GO:0000118	histone deacetylase complex	35	0	0.29	1.00000
252	GO:0000120	RNA polymerase I transcription regulator complex	3	0	0.02	1.00000
253	GO:0000123	histone acetyltransferase complex	67	0	0.55	1.00000
254	GO:0000124	SAGA complex	6	0	0.05	1.00000
255	GO:0000127	transcription factor TFIIIC complex	6	0	0.05	1.00000
256	GO:0000137	Golgi cis cisterna	2	0	0.02	1.00000
257	GO:0000138	Golgi trans cisterna	2	0	0.02	1.00000
258	GO:0000145	exocyst	7	0	0.06	1.00000
259	GO:0000151	ubiquitin ligase complex	181	0	1.49	1.00000
260	GO:0000152	nuclear ubiquitin ligase complex	33	0	0.27	1.00000
261	GO:0000153	cytoplasmic ubiquitin ligase complex	6	0	0.05	1.00000
262	GO:0000159	protein phosphatase type 2A complex	8	0	0.07	1.00000
263	GO:0000164	protein phosphatase type 1 complex	6	0	0.05	1.00000
264	GO:0000172	ribonuclease MRP complex	3	0	0.02	1.00000
265	GO:0000176	nuclear exosome (RNase complex)	4	0	0.03	1.00000
266	GO:0000177	cytoplasmic exosome (RNase complex)	5	0	0.04	1.00000
267	GO:0000178	exosome (RNase complex)	21	0	0.17	1.00000
268	GO:0000214	tRNA-intron endonuclease complex	2	0	0.02	1.00000
269	GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	2	0	0.02	1.00000
270	GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	2	0	0.02	1.00000
271	GO:0000228	nuclear chromosome	138	0	1.13	1.00000
272	GO:0000235	astral microtubule	2	0	0.02	1.00000
273	GO:0000242	pericentriolar material	15	0	0.12	1.00000
274	GO:0000262	mitochondrial chromosome	1	0	0.01	1.00000
275	GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	4	0	0.03	1.00000
276	GO:0000307	cyclin-dependent protein kinase holoenzyme complex	10	0	0.08	1.00000
277	GO:0000308	cytoplasmic cyclin-dependent protein kinase holoenzyme complex	1	0	0.01	1.00000
278	GO:0000313	organellar ribosome	30	0	0.25	1.00000
279	GO:0000314	organellar small ribosomal subunit	13	0	0.11	1.00000
280	GO:0000315	organellar large ribosomal subunit	11	0	0.09	1.00000
281	GO:0000322	storage vacuole	2	0	0.02	1.00000
282	GO:0000324	fungal-type vacuole	2	0	0.02	1.00000
283	GO:0000325	plant-type vacuole	3	0	0.02	1.00000
284	GO:0000329	fungal-type vacuole membrane	2	0	0.02	1.00000
285	GO:0000331	contractile vacuole	2	0	0.02	1.00000
286	GO:0000346	transcription export complex	10	0	0.08	1.00000
287	GO:0000347	THO complex	6	0	0.05	1.00000
288	GO:0000407	phagophore assembly site	17	0	0.14	1.00000
289	GO:0000421	autophagosome membrane	12	0	0.1	1.00000
290	GO:0000428	DNA-directed RNA polymerase complex	88	0	0.72	1.00000
291	GO:0000439	transcription factor TFIIH core complex	6	0	0.05	1.00000
292	GO:0000444	MIS12/MIND type complex	3	0	0.02	1.00000
293	GO:0000445	THO complex part of transcription export complex	6	0	0.05	1.00000
294	GO:0000500	RNA polymerase I upstream activating factor complex	1	0	0.01	1.00000
295	GO:0000502	proteasome complex	65	0	0.53	1.00000
296	GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	3	0	0.02	1.00000
297	GO:0000775	chromosome, centromeric region	139	0	1.14	1.00000
298	GO:0000776	kinetochore	95	0	0.78	1.00000
299	GO:0000779	condensed chromosome, centromeric region	97	0	0.8	1.00000
300	GO:0000781	chromosome, telomeric region	65	0	0.53	1.00000
301	GO:0000782	telomere cap complex	9	0	0.07	1.00000
302	GO:0000783	nuclear telomere cap complex	9	0	0.07	1.00000
303	GO:0000791	euchromatin	14	0	0.11	1.00000
304	GO:0000792	heterochromatin	47	0	0.39	1.00000
305	GO:0000793	condensed chromosome	159	0	1.31	1.00000
306	GO:0000794	condensed nuclear chromosome	34	0	0.28	1.00000
307	GO:0000795	synaptonemal complex	17	0	0.14	1.00000
308	GO:0000796	condensin complex	16	0	0.13	1.00000
309	GO:0000800	lateral element	2	0	0.02	1.00000
310	GO:0000801	central element	3	0	0.02	1.00000
311	GO:0000802	transverse filament	1	0	0.01	1.00000
312	GO:0000803	sex chromosome	8	0	0.07	1.00000
313	GO:0000805	X chromosome	4	0	0.03	1.00000
314	GO:0000806	Y chromosome	1	0	0.01	1.00000
315	GO:0000808	origin recognition complex	8	0	0.07	1.00000
316	GO:0000811	GINS complex	1	0	0.01	1.00000
317	GO:0000812	Swr1 complex	10	0	0.08	1.00000
318	GO:0000813	ESCRT I complex	7	0	0.06	1.00000
319	GO:0000815	ESCRT III complex	1	0	0.01	1.00000
320	GO:0000835	ER ubiquitin ligase complex	1	0	0.01	1.00000
321	GO:0000836	Hrd1p ubiquitin ligase complex	1	0	0.01	1.00000
322	GO:0000930	gamma-tubulin complex	13	0	0.11	1.00000
323	GO:0000931	gamma-tubulin ring complex	5	0	0.04	1.00000
324	GO:0000932	P-body	112	0	0.92	1.00000
325	GO:0000935	division septum	1	0	0.01	1.00000
326	GO:0000938	GARP complex	2	0	0.02	1.00000
327	GO:0000940	outer kinetochore	19	0	0.16	1.00000
328	GO:0000943	retrotransposon nucleocapsid	50	0	0.41	1.00000
329	GO:0000974	Prp19 complex	4	0	0.03	1.00000
330	GO:0001401	SAM complex	1	0	0.01	1.00000
331	GO:0001405	PAM complex, Tim23 associated import motor	1	0	0.01	1.00000
332	GO:0001411	hyphal tip	2	0	0.02	1.00000
333	GO:0001518	voltage-gated sodium channel complex	9	0	0.07	1.00000
334	GO:0001520	outer dense fiber	2	0	0.02	1.00000
335	GO:0001533	cornified envelope	3	0	0.02	1.00000
336	GO:0001534	radial spoke	2	0	0.02	1.00000
337	GO:0001650	fibrillar center	1	0	0.01	1.00000
338	GO:0001651	dense fibrillar component	1	0	0.01	1.00000
339	GO:0001652	granular component	1	0	0.01	1.00000
340	GO:0001669	acrosomal vesicle	41	0	0.34	1.00000
341	GO:0001673	male germ cell nucleus	8	0	0.07	1.00000
342	GO:0001674	female germ cell nucleus	8	0	0.07	1.00000
343	GO:0001726	ruffle	87	0	0.71	1.00000
344	GO:0001739	sex chromatin	1	0	0.01	1.00000
345	GO:0001740	Barr body	3	0	0.02	1.00000
346	GO:0001741	XY body	4	0	0.03	1.00000
347	GO:0001750	photoreceptor outer segment	27	0	0.22	1.00000
348	GO:0001772	immunological synapse	7	0	0.06	1.00000
349	GO:0001891	phagocytic cup	11	0	0.09	1.00000
350	GO:0001931	uropod	5	0	0.04	1.00000
351	GO:0001939	female pronucleus	4	0	0.03	1.00000
352	GO:0001940	male pronucleus	2	0	0.02	1.00000
353	GO:0002080	acrosomal membrane	14	0	0.11	1.00000
354	GO:0002095	caveolar macromolecular signaling complex	1	0	0.01	1.00000
355	GO:0002102	podosome	12	0	0.1	1.00000
356	GO:0002116	semaphorin receptor complex	10	0	0.08	1.00000
357	GO:0002139	stereocilia coupling link	11	0	0.09	1.00000
358	GO:0002141	stereocilia ankle link	11	0	0.09	1.00000
359	GO:0002142	stereocilia ankle link complex	11	0	0.09	1.00000
360	GO:0002177	manchette	3	0	0.02	1.00000
361	GO:0002178	palmitoyltransferase complex	4	0	0.03	1.00000
362	GO:0002189	ribose phosphate diphosphokinase complex	2	0	0.02	1.00000
363	GO:0002199	zona pellucida receptor complex	7	0	0.06	1.00000
364	GO:0002947	tumor necrosis factor receptor superfamily complex	1	0	0.01	1.00000
365	GO:0005577	fibrinogen complex	1	0	0.01	1.00000
366	GO:0005583	fibrillar collagen trimer	10	0	0.08	1.00000
367	GO:0005585	collagen type II trimer	1	0	0.01	1.00000
368	GO:0005586	collagen type III trimer	1	0	0.01	1.00000
369	GO:0005587	collagen type IV trimer	3	0	0.02	1.00000
370	GO:0005588	collagen type V trimer	1	0	0.01	1.00000
371	GO:0005590	collagen type VII trimer	3	0	0.02	1.00000
372	GO:0005593	FACIT collagen trimer	6	0	0.05	1.00000
373	GO:0005595	collagen type XII trimer	6	0	0.05	1.00000
374	GO:0005606	laminin-1 complex	8	0	0.07	1.00000
375	GO:0005607	laminin-2 complex	2	0	0.02	1.00000
376	GO:0005608	laminin-3 complex	4	0	0.03	1.00000
377	GO:0005610	laminin-5 complex	1	0	0.01	1.00000
